site_name,latitude,longitude
Awbrey Butte,44.081,-121.325
Pine Mountain Observatory,43.794,-120.943
Prineville Reservoir State Park,44.14,-120.728
Hopservatory,44.057,-121.262
Oregon Observatory Sunriver,43.883,-121.45
Mosier Ranch,45.672,-121.34
Madras,44.638,-121.103
Black Butte Meadow,44.373,-121.665
Tetherow,44.034,-121.367
Rimrock Ranch,44.392,-121.409
Sisters High School,44.294,-121.578
Camp Hancock,44.921,-120.428
Alvord Desert,42.477,-118.527
Malheur Field Station,43.248,-118.892
Raven Ridge,42.763,-118.95
Cottonwood Canyon State Park,45.488,-120.45
Stub Stewart State Park,45.745,-123.181
Hart Mountain,42.498,-119.684
Playa Summer Lake,42.804,-120.794
Shooting Star Ranch,45.462,-120.136
Talent,42.218,-122.794
Halfway,44.875,-117.118
Wallowa Lake State Park,45.283,-117.214
Sisters East,44.29,-121.538
Crooked River Ranch,44.413,-121.266
Oregon Caves National Monument,42.11,-123.407
Grizzly Mountain,44.417,-120.964
Bandon,43.014,-124.408
Lowell NE,43.924,-122.771
Mt Pisgah Arboretum,44.009,-122.978
Junction City,44.219,-123.222
Portland SW,45.473,-122.711
Portland SE,45.49,-122.624
Crater Lake National Park,42.89,-122.138
Neskowin,45.134,-123.97
Humbug Mtn State Park,42.69,-124.445
Arizona Beach State Park,42.616,-124.395
Cape Blanco State Park,42.841,-124.539
Camas Sno Park,42.229,-120.234
High Desert Museum,43.963,-121.342
Lava Butte,43.916,-121.358
Hart Mountain Camp,42.544,-119.777
Manzanita,45.717,-123.937
Jordan Craters,43.159,-117.39
Antelope,44.911,-120.724
Eugene Downtown,44.049,-123.083
Paulina Lake Visitor Center,43.712,-121.28
Lava Cast Forest,43.82,-121.289
Westmoreland Park,45.473,-122.644
Powell Butte Park,45.488,-122.5
Redmond West,44.287,-121.242
Hoyt Arboretum,45.512,-122.713
PCC Rock Creek,45.568,-122.861
Jenkins Estate,45.462,-122.892
Hyatt Lake,42.166,-122.46
Eagle Crest,44.277,-121.291
Deschutes River SRA,45.633,-120.91
Beacon Rock State Park,45.632,-122.034
Rooster Rock State Park,45.546,-122.227
Viento State Park,45.701,-121.671
